# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 14005023375
#
# Children|Self|Symbol|IPC   [IPC Coverage]
1.26%|0.00%|[.] _M0FP211moonbitlang5async21with__timeout_2einnerGuEC27204l101|-      -
1.22%|0.00%|[.] _M0FP211moonbitlang5async21with__timeout_2einnerGuEC27208l102|-      -
1.18%|0.32%|[.] _M0MP311moonbitlang5async6aqueue5Queue8try__putGRP27Hosi12111ws__session7MessageE|-      -
1.18%|0.04%|[.] _M0FP411moonbitlang5async8internal11event__loop5sleep|-      -
1.11%|1.11%|[.] _M0FP311moonbitlang5async9websocket12verify__utf8|-      -
1.11%|0.07%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop16wait__for__event|-      -
1.04%|0.86%|[.] epoll_wait|-      -
1.04%|0.72%|[.] _M0MPC13set3Set15add__with__hashGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
1.04%|0.11%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader12read_2einnerGRP311moonbitlang5async4http16ServerConnectionE|-      -
1.00%|1.00%|[.] simdutf::haswell::implementation::utf8_length_from_utf16le(char16_t const*, unsigned long) const|-      -
1.00%|0.00%|[.] _M0IP016_24default__implP311moonbitlang5async2io4Data63to__bytesview_2edyncall__as___40moonbitlang_2fasync_2fio_2eDataGRPC16string10StringViewE|-      -
0.90%|0.43%|[.] _M0IP311moonbitlang5async9websocket4ConnP311moonbitlang5async2io6Writer11write__onceN16_2aasync__driverS1867|-      -
0.90%|0.18%|[.] _M0FP411moonbitlang5async8internal11event__loop5sleepN8_2adeferS7317|-      -
0.90%|0.07%|[.] _M0MP411moonbitlang5async8internal11event__loop5Timer3new|-      -
0.90%|0.00%|[.] _M0FP411moonbitlang5async8internal11event__loop5sleepN16_2aasync__driverS1502|-      -
0.86%|0.86%|[.] _M0MPB3Map3getGiRP37hosi1217speakup9signaling4PeerE|-      -
0.83%|0.83%|[.] _M0MPC15deque5Deque10pop__frontGRP311moonbitlang5async6aqueue6ReaderGRP27Hosi12111ws__session7MessageEE|-      -
0.83%|0.54%|[.] _M0MPC13set3Set11shift__backGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.79%|0.07%|[.] moonbit_utf8_encode_from_utf16|-      -
0.79%|0.04%|[.] moonbitlang_async_write|-      -
0.75%|0.57%|[.] write|-      -
0.75%|0.14%|[.] moonbit_make_string|-      -
0.72%|0.72%|[.] _M0IP311moonbitlang5async6socket3TcpP311moonbitlang5async2io6Reader75__get__internal__buffer_2edyncall__as___40moonbitlang_2fasync_2fio_2eReader|-      -
0.72%|0.72%|[.] _M0MPB3Map3getGiRP411moonbitlang5async8internal11event__loop8IoHandleE|-      -
0.72%|0.07%|[.] _M0MPC111sorted__set9SortedSet6removeGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.72%|0.04%|[.] moonbit_simdutf_convert_utf16_to_utf8_with_errors|-      -
0.72%|0.00%|[.] moonbit_malloc_array (inlined)|-      -
0.68%|0.68%|[.] 0x0000000000098659|-      -
0.68%|0.29%|[.] _M0IP016_24default__implPB4Hash4hashGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.68%|0.18%|[.] _M0MPC111sorted__set9SortedSet3addGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.68%|0.04%|[.] moonbit_simdutf_convert_utf8_to_utf16_with_errors|-      -
0.68%|0.00%|[.] moonbit_utf8_decode_into_utf16|-      -
0.68%|0.00%|[.] 0x00007a1828498659|-      -
0.65%|0.65%|[.] 0x00000000000986e1|-      -
0.65%|0.54%|[.] simdutf::haswell::implementation::convert_utf16le_to_utf8_with_errors(char16_t const*, unsigned long, char*) const|-      -
0.65%|0.07%|[.] _M0FP37hosi1217speakup6shared22optional__signal__text|-      -
0.65%|0.07%|[.] _M0MPC16buffer6Buffer16write__bytesview|-      -
0.65%|0.00%|[.] 0x00007a18284986e1|-      -
0.61%|0.61%|[.] _M0MPB3Map3getGiRP37hosi1217speakup17native__transport4PeerE|-      -
0.61%|0.61%|[.] _M0MPC15deque5Deque10pop__frontGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.61%|0.00%|[.] moonbit_malloc_array (inlined)|-      -
0.57%|0.18%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle10wait__read|-      -
0.57%|0.14%|[.] _mi_malloc_generic|-      -
0.57%|0.11%|[.] moonbit_get_ms_since_epoch|-      -
0.57%|0.07%|[.] moonbit_make_ref_array|-      -
0.54%|0.54%|[.] _M0MPC15array10FixedArray18blit__from__string|-      -
0.54%|0.36%|[.] simdutf::haswell::implementation::convert_utf8_to_utf16le_with_errors(char const*, unsigned long, char16_t*) const|-      -
0.54%|0.14%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader10read__someN16_2aasync__driverS592GRP311moonbitlang5async9websocket7MessageE|-      -
0.50%|0.25%|[.] _M0FPC111sorted__set12delete__nodeGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
