# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 14005023375
#
# Overhead|Symbol|IPC   [IPC Coverage]
0.22%|[.] _M0MPC13set3Set13remove__entryGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.22%|[.] _M0MPC13set3Set20add__entry__to__tailGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.22%|[.] _M0MPC14json12ParseContext13parse__value2|-      -
0.22%|[.] _M0MPC16buffer6Buffer9to__bytes|-      -
0.22%|[.] moonbit_unsafe_bytes_sub_string|-      -
0.18%|[.] _M0FP211moonbitlang5async17with__task__groupGuEC27143|-      -
0.18%|[.] _M0FP411moonbitlang5async8internal11event__loop5sleepN8_2adeferS7317|-      -
0.18%|[.] _M0FP411moonbitlang5async8internal9coroutine15pause__nocancel|-      -
0.18%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Writer5writeN16_2aasync__driverS431GRP311moonbitlang5async4http16ServerConnectionE|-      -
0.18%|[.] _M0IP311moonbitlang5async9websocket7MessageP311moonbitlang5async2io6Reader14__direct__read|-      -
0.18%|[.] _M0MP211moonbitlang5async9TaskGroup16spawn__coroutineGuEC26941|-      -
0.18%|[.] _M0MP311moonbitlang5async9websocket4Conn10send__text|-      -
0.18%|[.] _M0MP311moonbitlang5async9websocket4Conn12end__messageN16_2aasync__driverS1763|-      -
0.18%|[.] _M0MP311moonbitlang5async9websocket4Conn19recv__frame__headerN16_2aasync__driverS1065C31775|-      -
0.18%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle10wait__read|-      -
0.18%|[.] _M0MPB3Map20add__entry__to__tailGsRPB4JsonE|-      -
0.18%|[.] _M0MPB3Map3MapGsRPB4JsonE|-      -
0.18%|[.] _M0MPC111sorted__set9SortedSet3addGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.18%|[.] _M0MPC13set3Set4iterGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.18%|[.] _M0MPC14json12ParseContext13parse__object.part.0|-      -
0.18%|[.] _M0MPC15bytes5Bytes21clamped__view_2einner|-      -
0.18%|[.] _M0MPC15deque5Deque10pop__frontGRP311moonbitlang5async6aqueue6WriterGRP27Hosi12111ws__session7MessageEE|-      -
0.18%|[.] _mi_deferred_free|-      -
0.18%|[.] simdutf::result simdutf::scalar::(anonymous namespace)::utf8_to_utf16::convert_with_errors<(simdutf::endianness)0, char const*>(char const*, unsigned long, char16_t*)|-      -
0.18%|[.] 0x00000000000986c9|-      -
0.14%|[.] _M0FP211moonbitlang5async17with__task__groupGuE|-      -
0.14%|[.] _M0FP211moonbitlang5async17with__task__groupN16_2aasync__driverS714GuE|-      -
0.14%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader10read__someGRP311moonbitlang5async9websocket7MessageEC28357|-      -
0.14%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader10read__someN16_2aasync__driverS592GRP311moonbitlang5async9websocket7MessageE|-      -
0.14%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Writer5writeGRP311moonbitlang5async4http16ServerConnectionEC27975|-      -
0.14%|[.] _M0IP311moonbitlang5async6socket3TcpP311moonbitlang5async2io6Writer63write__once_2edyncall__as___40moonbitlang_2fasync_2fio_2eWriter|-      -
0.14%|[.] _M0MP27Hosi12111ws__session7Session7enqueue|-      -
0.14%|[.] _M0MP311moonbitlang5async6aqueue5Queue3getN16_2aasync__driverS226GRP27Hosi12111ws__session7MessageE|-      -
0.14%|[.] _M0MP311moonbitlang5async9websocket4Conn25flush__frame__unprotected|-      -
0.14%|[.] _M0MP311moonbitlang5async9websocket4Conn4recvN16_2aasync__driverS1469C32054|-      -
0.14%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle27read__via__event__bus__unixN16_2aasync__driverS2255C26503|-      -
0.14%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle28write__via__event__bus__unixN16_2aasync__driverS2300|-      -
0.14%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle5writeN16_2aasync__driverS2442|-      -
0.14%|[.] _M0MPC111sorted__set9SortedSet4iterGRP411moonbitlang5async8internal11event__loop5TimerEC25102l589|-      -
0.14%|[.] _M0MPC14json12ParseContext10read__char|-      -
0.14%|[.] _M0MPC14json12ParseContext18scan__json__number|-      -
0.14%|[.] _M0MPC15deque5Deque10pop__frontGRP27Hosi12111ws__session7MessageE|-      -
0.14%|[.] _M0MPC15deque5Deque10pop__frontGRP311moonbitlang5async9semaphore6WaiterE|-      -
0.14%|[.] _mi_malloc_generic|-      -
0.14%|[.] moonbit_make_string|-      -
0.14%|[.] moonbitlang_async_read|-      -
0.14%|[.] simdutf::utf8_length_from_utf16le(char16_t const*, unsigned long)|-      -
0.14%|[.] 0x000000000018891d|-      -
0.14%|[.] 0x0000000000188d91|-      -
0.11%|[.] _M0FP211moonbitlang5async17with__task__groupGuEC27133|-      -
0.11%|[.] _M0FP27Hosi12111ws__session21with__session_2einnerN16_2aasync__driverS134C32628|-      -
0.11%|[.] _M0FP37hosi1217speakup6shared14decode__signal|-      -
0.11%|[.] _M0FP411moonbitlang5async8internal9coroutine22suspend__check__cancel|-      -
0.11%|[.] _M0FP411moonbitlang5async8internal9coroutine5spawnC25868|-      -
0.11%|[.] _M0FP411moonbitlang5async8internal9coroutine5spawnN16_2aasync__driverS263|-      -
0.11%|[.] _M0FP411moonbitlang5async8internal9coroutine7suspendC25836|-      -
0.11%|[.] _M0FPC111sorted__set7balanceGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.11%|[.] _M0FPC111sorted__set9add__nodeGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.11%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader12read_2einnerGRP311moonbitlang5async4http16ServerConnectionE|-      -
0.11%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader13read__exactlyGRP311moonbitlang5async4http16ServerConnectionE|-      -
0.11%|[.] _M0IP311moonbitlang5async4http6ReaderP311moonbitlang5async2io6Reader14__direct__read|-      -
0.11%|[.] _M0MP211moonbitlang5async9TaskGroup16spawn__coroutineN16_2aasync__driverS672GuE|-      -
0.11%|[.] _M0MP311moonbitlang5async6aqueue5Queue3getGRP27Hosi12111ws__session7MessageE.part.0|-      -
0.11%|[.] _M0MP311moonbitlang5async9websocket4Conn19recv__frame__headerN16_2aasync__driverS1065C31694|-      -
0.11%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle28write__via__event__bus__unixC26549|-      -
0.11%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop14handle__timers|-      -
0.11%|[.] _M0MPC111sorted__set4Node14update__heightGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.11%|[.] _M0MPC13set3Set4iterGRP411moonbitlang5async8internal9coroutine9CoroutineEC23101l531|-      -
0.11%|[.] _M0MPC14json12ParseContext25lex__after__object__value|-      -
0.11%|[.] __errno_location|-      -
0.11%|[.] _mi_heap_delayed_free_partial|-      -
0.11%|[.] mi_bin|-      -
0.11%|[.] moonbit_get_ms_since_epoch|-      -
0.11%|[.] moonbit_unsafe_val_array_blit|-      -
0.11%|[.] simdutf::convert_utf8_to_utf16le_with_errors(char const*, unsigned long, char16_t*)|-      -
0.11%|[.] simdutf::full_result simdutf::scalar::(anonymous namespace)::utf16_to_utf8::convert_with_errors<(simdutf::endianness)0, false, char16_t const*, char*>(char16_t const*, unsigned long, char*, unsigned long) [clone .isra.0]|-      -
0.11%|[.] 0x0000000000188eab|-      -
0.07%|[.] _M0FP37hosi1217speakup10native__io13limited__bodyN16_2aasync__driverS31C31151|-      -
0.07%|[.] _M0FP37hosi1217speakup6shared22optional__signal__text|-      -
0.07%|[.] _M0FPB8new__mapGsRPB4JsonE|-      -
0.07%|[.] _M0FPC28encoding4utf814decode_2einner|-      -
0.07%|[.] _M0MP311moonbitlang5async2io12ReaderBuffer11take__owned|-      -
0.07%|[.] _M0MP311moonbitlang5async6aqueue5Queue3getGRP27Hosi12111ws__session7MessageEC26014|-      -
0.07%|[.] _M0MP311moonbitlang5async9semaphore9Semaphore7release|-      -
0.07%|[.] _M0MP311moonbitlang5async9websocket4Conn12end__message|-      -
0.07%|[.] _M0MP311moonbitlang5async9websocket4Conn12end__messageN16_2aasync__driverS1763C32335|-      -
0.07%|[.] _M0MP311moonbitlang5async9websocket4Conn19recv__frame__header|-      -
0.07%|[.] _M0MP311moonbitlang5async9websocket4Conn25flush__frame__unprotectedC31495|-      -
0.07%|[.] _M0MP311moonbitlang5async9websocket4Conn4recv|-      -
0.07%|[.] _M0MP311moonbitlang5async9websocket6OpCode10from__byte|-      -
0.07%|[.] _M0MP37hosi1217speakup17native__transport5Relay7deliver|-      -
0.07%|[.] _M0MP411moonbitlang5async8internal11event__loop5Timer3new|-      -
0.07%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle10wait__readN8_2adeferS7617|-      -
0.07%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle5writeN16_2aasync__driverS2442C26661|-      -
0.07%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop16wait__for__event|-      -
0.07%|[.] _M0MPC111sorted__set9SortedSet6removeGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.07%|[.] _M0MPC13set3Set10push__awayGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.07%|[.] _M0MPC14json12ParseContext12parse__value|-      -
0.07%|[.] _M0MPC14json12ParseContext9lex__zero|-      -
0.07%|[.] _M0MPC15bytes9BytesView9to__owned|-      -
0.07%|[.] _M0MPC16buffer6Buffer16write__bytesview|-      -
0.07%|[.] __memset_chk@plt|-      -
0.07%|[.] _mi_page_free_collect.constprop.137|-      -
0.07%|[.] moonbit_make_ref_array|-      -
0.07%|[.] moonbit_utf16_len_from_utf8|-      -
0.07%|[.] moonbit_utf8_encode_from_utf16|-      -
0.07%|[.] simdutf::utf8_length_from_utf16(char16_t const*, unsigned long)|-      -
0.07%|[.] 0x0000000000098643|-      -
0.07%|[.] 0x00000000000986e3|-      -
0.07%|[.] 0x0000000000188de6|-      -
0.07%|[.] 0x0000000000189750|-      -
0.04%|[.] _M0FP311moonbitlang5async9os__error26is__nonblocking__io__error|-      -
0.04%|[.] _M0FP37hosi1217speakup10native__io13limited__body|-      -
0.04%|[.] _M0FP411moonbitlang5async8internal11event__loop5sleep|-      -
0.04%|[.] _M0FP411moonbitlang5async8internal11event__loop5sleepC26098|-      -
0.04%|[.] _M0FP411moonbitlang5async8internal9coroutine7suspend|-      -
0.04%|[.] _M0FPC111sorted__set9rotate__lGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.04%|[.] _M0FPC13set8new__setGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.04%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader62read__some_2edyncall__as___40moonbitlang_2fasync_2fio_2eReaderGRP311moonbitlang5async9websocket7MessageE|-      -
0.04%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader75read__exactly_2edyncall__as___40moonbitlang_2fasync_2fwebsocket_2eTransportGRP311moonbitlang5async4http16ServerConnectionE|-      -
0.04%|[.] _M0IP311moonbitlang5async4http6SenderP311moonbitlang5async2io6Writer11write__once|-      -
0.04%|[.] _M0IP311moonbitlang5async6socket3TcpP311moonbitlang5async2io6Reader66__direct__read_2edyncall__as___40moonbitlang_2fasync_2fio_2eReader|-      -
0.04%|[.] _M0IPC15bytes9BytesViewP311moonbitlang5async2io4Data63to__bytesview_2edyncall__as___40moonbitlang_2fasync_2fio_2eData|-      -
0.04%|[.] _M0MP211moonbitlang5async9TaskGroup16spawn__coroutineGuE|-      -
0.04%|[.] _M0MP211moonbitlang5async9TaskGroup16spawn__coroutineGuEC26947|-      -
0.04%|[.] _M0MP37hosi1217speakup17native__transport5Relay7receive|-      -
0.04%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop18get__next__timeout|-      -
0.04%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop7suspendN16_2aasync__driverS1526|-      -
0.04%|[.] _M0MPC111sorted__set9SortedSet4iterGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.04%|[.] _M0MPC14json12ParseContext16lex__number__end|-      -
0.04%|[.] _M0MPC15array10FixedArray23make__and__blit_2einnerGyE|-      -
0.04%|[.] _M0MPC15bytes5Bytes11from__array|-      -
0.04%|[.] _M0MPC16buffer6Buffer4grow|-      -
0.04%|[.] _M0MPC16string6String17unsafe__substring|-      -
0.04%|[.] __memcpy_chk@plt|-      -
0.04%|[.] mi_heap_queue_first_update|-      -
0.04%|[.] moonbit_make_ref_array_with_blit|-      -
0.04%|[.] moonbit_simdutf_convert_utf16_to_utf8_with_errors|-      -
0.04%|[.] moonbit_simdutf_convert_utf8_to_utf16_with_errors|-      -
0.04%|[.] moonbit_utf8_len_from_utf16|-      -
0.04%|[.] moonbitlang_async_write|-      -
0.04%|[.] read@plt|-      -
0.04%|[.] simdutf::convert_utf16le_to_utf8_with_errors(char16_t const*, unsigned long, char*)|-      -
0.04%|[.] simdutf::utf16_length_from_utf8(char const*, unsigned long)|-      -
0.04%|[.] 0x0000000000098630|-      -
0.04%|[.] 0x0000000000098634|-      -
0.04%|[.] 0x0000000000098653|-      -
0.04%|[.] 0x000000000009865d|-      -
0.04%|[.] 0x00000000000986b0|-      -
0.04%|[.] 0x00000000000986b4|-      -
0.04%|[.] 0x00000000000986cf|-      -
0.04%|[.] 0x0000000000188620|-      -
0.04%|[.] 0x0000000000188884|-      -
